Date,venue,City,State,Country,Recording Surfaced
10/10/1991,Empire,Cleveland,OH,United States,Y
11/10/1991,Saint Andrew's Hall,Detroit,MI,United States,Y
12/10/1991,Cabaret Metro,Chicago,IL,United States,Y
14/10/1991,Northern Lights,Minneapolis,MN,United States,Y
14/10/1991,First Avenue Club,Minneapolis,MN,United States,Y
16/10/1991,Mississippi Nights,St. Louis,MO,United States,N
17/10/1991,"Kansas Union Ballroom, University of Kansas",Lawrence,KS,United States,Y
17/10/1991,Kansas Union Ballroom,Lawrence,KS,United States,Y
19/10/1991,Trees Club,Dallas,TX,United States,Y
20/10/1991,The Vatican,Houston,TX,United States,N
21/10/1991,Waterloo Records,Austin,TX,United States,Y
21/10/1991,Liberty Lunch,Austin,TX,United States,Y
23/10/1991,After The Gold Rush,Tempe,AZ,United States,Y
24/10/1991,Iguana's,Tijuana,,Mexico ,N
24/10/1991,Off The Record,San Diego,CA,United States,Y
25/10/1991,The Palace (Rock For Choice Benefit),Hollywood,CA,United States,Y
26/10/1991,Warfield Theater,San Francisco,CA,United States,Y
27/10/1991,The Palace,Hollywood,CA,United States,Y
29/10/1991,Fox Theatre,Portland,OR,United States,Y
30/10/1991,Commodore Ballroom,Vancouver,BC,Canada,Y
31/10/1991,Paramount Theatre,Seattle,WA,United States,Y
4/11/1991,Bierkeller,Bristol,,United Kingdom,Y
5/11/1991,Astoria Theatre,London,,United Kingdom,Y
6/11/1991,Wulfrun Hall,Wolverhampton,,United Kingdom,Y
8/11/1991,Limehouse Studios (The Word),London,,United Kingdom,Y
10/11/1991,Loft,Berlin,,Germany ,Y
11/11/1991,Markthalle,Hamburg,,Germany ,Y
12/11/1991,Batschkapp,Frankfurt,,Germany ,N
13/11/1991,Nachtwerk,München,,Germany ,Y
14/11/1991,Arena,Wien,,Austria ,Y
16/11/1991,Teatro Verdi,Muggia,,Italy,Y
17/11/1991,Bloom,Mezzago,,Italy,Y
19/11/1991,Teatro Castello,Roma,,Italy,Y
20/11/1991,Kryptonite,Baricella,,Italy,Y
23/11/1991,Vooruit,Gent,,Belgium,Y
25/11/1991,NOB Radiostudio,Hilversum,,Netherlands,Y
25/11/1991,Paradiso,Amsterdam,,Netherlands,Y
26/11/1991,"Communal Building, University of Bradford",Bradford,,United Kingdom,Y
27/11/1991,BBC Elstree Centre (Top of the Pops),Borehamwood,,United Kingdom,Y
27/11/1991,Hummingbird,Birmingham,,United Kingdom,Y
28/11/1991,"Octagon Centre, University of Sheffield",Sheffield,,United Kingdom,Y
29/11/1991,Calton Studios,Edinburgh,,United Kingdom,Y
30/11/1991,"Queen Margaret Union, University of Glasgow",Glasgow,,United Kingdom,Y
30/11/1991,"Queen Margaret Union, University of Glasgow",Glasgow,,United Kingdom,Y
1/12/1991,The Southern Bar,Edinburgh,,United Kingdom,N
2/12/1991,The Mayfair,Newcastle,,United Kingdom,Y
3/12/1991,Rock City,Nottingham,,United Kingdom,Y
4/12/1991,Academy,Manchester,,United Kingdom,Y
5/12/1991,Kilburn National Ballroom,London,,United Kingdom,Y
6/12/1991,The Greenwood (Tonight with Jonathan Ross),London,,United Kingdom,Y
7/12/1991,Salle Omnisports (Trans Musicales),Rennes,,France,Y
27/12/1991,Los Angeles Memorial Sports Arena,Los Angeles,CA,United States,N
28/12/1991,"Pat O'Brien Pavilion, Del Mar Fairgrounds",Del Mar,CA,United States,Y
29/12/1991,"University Activity Center, Arizona State University",Tempe,AZ,United States,Y
31/12/1991,Cow Palace,Daly City,CA,United States,Y
2/1/1992,Salem Armory,Salem,OR,United States,Y
2/1/1992,Salem Armory Auditorium,Salem,OR,United States,Y
9/1/1992,NBC Studios (Saturday Night Live rehearsal),New York,NY,United States,N
10/1/1992,MTV Studios,New York,NY,United States,Y
11/1/1992,NBC Studios (Saturday Night Live dress rehearsal),New York,NY,United States,N
11/1/1992,NBC Studios (Saturday Night Live),New York,NY,United States,Y
15/1/1992,Crocodile Cafe,Seattle,WA,United States,Y
24/1/1992,Phoenecian Club,Sydney,,Australia ,Y
25/1/1992,Hordern Pavilion,Sydney,,Australia ,Y
26/1/1992,Fisherman's Wharf,Gold Coast,,Australia ,N
27/1/1992,Brisbane Festival Hall,Brisbane,,Australia ,N
30/1/1992,Thebarton Theatre,Adelaide,,Australia ,Y
31/1/1992,Palace,Melbourne,,Australia ,Y
